SUBSYSTEM	Rxn.name	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Arginine and proline metabolism	MAR03806;MAR03807;MAR03809;MAR03816;MAR03819;MAR03820;MAR03832;MAR03833;MAR03835;MAR03837;MAR03895;MAR03897;MAR03956;MAR03993;MAR04073;MAR04075;MAR04077;MAR04190;MAR04191;MAR04212;MAR04422;MAR04423;MAR04424;MAR04583;MAR04605;MAR04776;MAR04777;MAR04778;MAR04779;MAR04780;MAR04781;MAR04784;MAR04785;MAR04786;MAR05384;MAR06929;MAR06930;MAR06931;MAR06932;MAR06933;MAR06934;MAR06935;MAR06936;MAR06938;MAR06939;MAR06940;MAR06941;MAR06942;MAR06943;MAR06944;MAR06945;MAR06946;MAR06947;MAR06948;MAR06949;MAR06950;MAR06951;MAR06952;MAR06953;MAR06954;MAR06955;MAR06956;MAR06957;MAR06958;MAR06959;MAR06960;MAR06961;MAR06962;MAR06963;MAR06964;MAR06965;MAR06966;MAR06967;MAR06973;MAR08096;MAR08097;MAR08098;MAR08416;MAR08425;MAR08426;MAR08427;MAR08432;MAR08603;MAR08604;MAR08605;MAR08606;MAR08607;MAR08608;MAR08609;MAR08610;MAR08611;MAR00251;MAR00442;MAR01523;MAR01649;MAR02023;MAR11399;MAR03838;MAR04787;MAR08431	HMDB0000148;HMDB0001487;HMDB0000208;HMDB0000214;HMDB0000904;HMDB0000517;HMDB0002111;HMDB0000221;HMDB0000538;HMDB0001967;HMDB0001185;HMDB0001414;HMDB0000988;HMDB0001257;HMDB0001377;HMDB0001432;HMDB0000064;HMDB0000939;HMDB0001080;HMDB0000217;HMDB0000162;HMDB0000902;HMDB0000725;HMDB0001173;HMDB0001423;HMDB0001186;HMDB0001256;HMDB0001276;HMDB0002172;HMDB0000002;HMDB0000223;HMDB0001206;HMDB0003357;HMDB0001341;HMDB0001248;HMDB0000271;HMDB0001846;HMDB0002064;HMDB0004226;HMDB0000641;HMDB0003411;HMDB0000294;HMDB0000595;HMDB0003125;HMDB0000128;HMDB0000112;HMDB0000254;HMDB0000119;HMDB0000243;HMDB0000034;HMDB0006078;HMDB0006009;HMDB0000182;HMDB0006556;HMDB0000191;HMDB0001138;HMDB0000042;HMDB0000562;HMDB0001197;HMDB0000123;HMDB0003681;HMDB0000696;HMDB0006875;HMDB0000142;HMDB0003378	65	31	HMDB0006875;HMDB0000221;HMDB0000148;HMDB0001341;HMDB0000294;HMDB0000254;HMDB0000725;HMDB0000214;HMDB0000064;HMDB0000904;HMDB0001377;HMDB0003125;HMDB0000939;HMDB0001487;HMDB0000902;HMDB0000191;HMDB0000162;HMDB0000517;HMDB0000223;HMDB0000128;HMDB0003411;HMDB0006556;HMDB0000208;HMDB0000123;HMDB0001248;HMDB0000217;HMDB0001185;HMDB0006078;HMDB0001967;HMDB0002111;HMDB0000538	0.5334364647305977	0.0016750418760469012	1.8413888849322486	0.38590963259205396	0.38590963259205396
Carnitine shuttle (cytosolic)	MAR00159;MAR02591;MAR02594;MAR02599;MAR02602;MAR02605;MAR02608;MAR02611;MAR02614;MAR02620;MAR02623;MAR02626;MAR02633;MAR02636;MAR02642;MAR02648;MAR02651;MAR02654;MAR02657;MAR02660;MAR02663;MAR02666;MAR02669;MAR02672;MAR02675;MAR02678;MAR02681;MAR02684;MAR02687;MAR02690;MAR02693;MAR02699;MAR02702;MAR02705;MAR02708;MAR02711;MAR02714;MAR02717;MAR02720;MAR02726;MAR02730;MAR02733;MAR02736;MAR02739;MAR02742;MAR02746;MAR02752;MAR02755;MAR02759;MAR02762;MAR02768;MAR02771;MAR02774;MAR02877;MAR03032;MAR03521;MAR08419	HMDB0001088;HMDB0000062;HMDB0001423;HMDB0000201;HMDB0000824;HMDB0002095;HMDB0002250;HMDB0005066;HMDB0000222;HMDB0006210;HMDB0006267;HMDB0000791;HMDB0002013;HMDB0001206;HMDB0001275;HMDB0001175;HMDB0003571;HMDB0013109;HMDB0001521;HMDB0001338;HMDB0006532;HMDB0001114;HMDB0005065;HMDB0001322;HMDB0006464;HMDB0004258;HMDB0006290;HMDB0001064;HMDB0006368;HMDB0003947;HMDB0006523;HMDB0001070;HMDB0006320	33	2	HMDB0000201;HMDB0001275	-0.8295259922355962	0.13654618473895583	-1.3202395021732216	0.417488129955894	0.417488129955894
Carnitine shuttle (peroxisomal)	MAR03027;MAR03028;MAR03029;MAR03030;MAR03033;MAR03034;MAR03035;MAR03037	HMDB0000062;HMDB0002095;HMDB0001423;HMDB0000201;HMDB0000791;HMDB0000824;HMDB0001175;HMDB0001206;HMDB0001070;HMDB0001275	10	2	HMDB0001275;HMDB0000201	-0.8295259922355962	0.13654618473895583	-1.3202395021732216	0.417488129955894	0.417488129955894
Carnitine shuttle (mitochondrial)	MAR00160;MAR00161;MAR00162;MAR00163;MAR02592;MAR02593;MAR02596;MAR02598;MAR02600;MAR02601;MAR02603;MAR02604;MAR02606;MAR02607;MAR02609;MAR02610;MAR02612;MAR02613;MAR02616;MAR02618;MAR02621;MAR02622;MAR02624;MAR02625;MAR02629;MAR02630;MAR02634;MAR02635;MAR02638;MAR02640;MAR02644;MAR02646;MAR02649;MAR02650;MAR02652;MAR02653;MAR02655;MAR02656;MAR02658;MAR02659;MAR02661;MAR02662;MAR02664;MAR02665;MAR02667;MAR02668;MAR02670;MAR02671;MAR02673;MAR02674;MAR02676;MAR02677;MAR02679;MAR02680;MAR02682;MAR02683;MAR02685;MAR02686;MAR02688;MAR02689;MAR02691;MAR02692;MAR02695;MAR02697;MAR02700;MAR02701;MAR02703;MAR02704;MAR02706;MAR02707;MAR02709;MAR02710;MAR02712;MAR02713;MAR02715;MAR02716;MAR02718;MAR02719;MAR02722;MAR02724;MAR02727;MAR02729;MAR02731;MAR02732;MAR02734;MAR02735;MAR02737;MAR02738;MAR02740;MAR02741;MAR02744;MAR02745;MAR02748;MAR02750;MAR02753;MAR02754;MAR02757;MAR02758;MAR02760;MAR02761;MAR02764;MAR02766;MAR02769;MAR02770;MAR02772;MAR02773;MAR02775;MAR02776;MAR03519;MAR03520;MAR08417;MAR08418	HMDB0000062;HMDB0002013;HMDB0001423;HMDB0000791;HMDB0000201;HMDB0000824;HMDB0002095;HMDB0002250;HMDB0005066;HMDB0000222;HMDB0006210;HMDB0005065;HMDB0006464;HMDB0006267;HMDB0006320;HMDB0001088;HMDB0001070;HMDB0001206;HMDB0001275;HMDB0001175;HMDB0003571;HMDB0013109;HMDB0001521;HMDB0001338;HMDB0006532;HMDB0001114;HMDB0001322;HMDB0004258;HMDB0006290;HMDB0001064;HMDB0006368;HMDB0003947;HMDB0006523	33	2	HMDB0000201;HMDB0001275	-0.8295259922355962	0.13654618473895583	-1.3202395021732216	0.417488129955894	0.417488129955894
Phenylalanine, tyrosine and tryptophan biosynthesis	MAR03743;MAR03940;MAR04214;MAR04216;MAR04218;MAR04219;MAR04220;MAR04222;MAR04224;MAR04225;MAR04232;MAR04233;MAR04235;MAR04243;MAR04244;MAR04246;MAR06707;MAR06708;MAR06711;MAR06712;MAR06713;MAR06714;MAR06715;MAR06716;MAR06717;MAR06719;MAR06720;MAR06721;MAR06722;MAR06723;MAR06725;MAR06726;MAR06727;MAR06728;MAR06729;MAR06730;MAR06731;MAR06734;MAR06735;MAR06736;MAR06738;MAR06739;MAR06741;MAR06742;MAR06743;MAR06744;MAR06745;MAR06746;MAR06747;MAR06748;MAR06749;MAR06750;MAR06751;MAR06752;MAR06753;MAR06754;MAR06755;MAR06756;MAR06757;MAR06758;MAR06759;MAR06760;MAR06761;MAR06762;MAR06763;MAR06764;MAR06765;MAR06766;MAR06767;MAR06768;MAR06770;MAR06771;MAR06772;MAR06774;MAR06778;MAR06782;MAR06783;MAR06784;MAR06785;MAR06786;MAR06787;MAR06788;MAR06789;MAR06790;MAR06791;MAR06798;MAR06799;MAR06800;MAR06801;MAR06802;MAR06803;MAR06807;MAR06808;MAR06813;MAR06814;MAR06817;MAR06818;MAR06819;MAR06822;MAR06823;MAR06826;MAR06827;MAR06828;MAR06829;MAR06830;MAR06831;MAR06834;MAR06835;MAR06836;MAR06837;MAR06838;MAR06839;MAR06840;MAR06841;MAR06842;MAR06843;MAR06844;MAR06845;MAR06848;MAR06849;MAR06850;MAR06851;MAR06854;MAR06855;MAR06874;MAR06875;MAR06876;MAR06878;MAR06879;MAR06885;MAR06888;MAR06889;MAR07628;MAR07756;MAR08539;MAR08794;MAR08795;MAR08796;MAR04231;MAR04242;MAR04245;MAR04248;MAR06709;MAR06718;MAR06740;MAR06792;MAR06811;MAR06815;MAR06820;MAR06824;MAR06877;MAR06881;MAR06882;MAR06883;MAR06886	HMDB0001423;HMDB0001377;HMDB0000159;HMDB0000929;HMDB0002111;HMDB0000732;HMDB0000217;HMDB0000715;HMDB0000148;HMDB0000684;HMDB0001280;HMDB0000902;HMDB0000221;HMDB0001248;HMDB0000208;HMDB0001185;HMDB0000303;HMDB0000197;HMDB0000472;HMDB0000935;HMDB0001487;HMDB0000125;HMDB0000205;HMDB0000158;HMDB0000181;HMDB0005199;HMDB0000044;HMDB0000073;HMDB0000216;HMDB0000068;HMDB0004063;HMDB0000819;HMDB0000318;HMDB0003791;HMDB0001336;HMDB0000022;HMDB0000990;HMDB0000707;HMDB0000130;HMDB0000755;HMDB0000538;HMDB0000306;HMDB0000295;HMDB0000265;HMDB0000248;HMDB0003633;HMDB0004366;HMDB0006044;HMDB0003125;HMDB0004058;HMDB0001134;HMDB0004067;HMDB0001229;HMDB0001430;HMDB0001253;HMDB0000209;HMDB0000641;HMDB0006503;HMDB0000123;HMDB0006523;HMDB0000142;HMDB0000161;HMDB0001123;HMDB0001967;HMDB0002243;HMDB0000225;HMDB0001197;HMDB0000881;HMDB0000169;HMDB0000939;HMDB0001426;HMDB0000669;HMDB0001434;HMDB0003892;HMDB0000243;HMDB0001264;HMDB0000164;HMDB0000291;HMDB0000118;HMDB0000060;HMDB0000134;HMDB0000045;HMDB0000250;HMDB0001206;HMDB0000500;HMDB0000020;HMDB0002786;HMDB0000061;HMDB0001448;HMDB0000574;HMDB0002281;HMDB0006344	92	32	HMDB0000158;HMDB0001248;HMDB0000538;HMDB0000574;HMDB0002111;HMDB0005199;HMDB0000990;HMDB0000164;HMDB0000045;HMDB0000123;HMDB0000044;HMDB0000902;HMDB0000208;HMDB0000221;HMDB0001487;HMDB0000217;HMDB0000134;HMDB0001377;HMDB0000295;HMDB0001264;HMDB0004067;HMDB0003892;HMDB0003125;HMDB0000020;HMDB0000939;HMDB0000250;HMDB0000148;HMDB0001430;HMDB0000715;HMDB0001253;HMDB0001185;HMDB0001967	0.5021481525968686	0.003372681281618887	1.7372168772820746	0.4405663616716152	0.4405663616716152
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)	MAR03301;MAR03302;MAR03304;MAR03305;MAR03306;MAR03307;MAR03309;MAR03310;MAR03311;MAR03312;MAR03314;MAR03315;MAR03316;MAR03317;MAR03319;MAR03320;MAR03322	HMDB0001064;HMDB0001377;HMDB0002111;HMDB0000902;HMDB0001423;HMDB0003952;HMDB0011123;HMDB0001487;HMDB0003125;HMDB0001206	10	5	HMDB0001377;HMDB0002111;HMDB0001487;HMDB0000902;HMDB0003125	0.6073147256977874	0.19165085388994307	1.2543839106558352	0.5688677094785074	0.5688677094785074
Beta oxidation of even-chain fatty acids (peroxisomal)	MAR03055;MAR03057;MAR03058;MAR03059;MAR03060;MAR03062;MAR03063;MAR03064;MAR03065;MAR03066;MAR03067;MAR03068;MAR03069;MAR03070;MAR03071;MAR03072;MAR03073;MAR03074;MAR03075;MAR03076;MAR03077;MAR03078;MAR03079;MAR03080;MAR03081;MAR03082;MAR03083;MAR03084;MAR03085;MAR03086;MAR03087;MAR03088;MAR03089;MAR03090;MAR03091;MAR03092;MAR03093;MAR03094;MAR03095;MAR03096;MAR03097;MAR03098;MAR03099;MAR03100;MAR03101;MAR03102;MAR03103;MAR03104	HMDB0006516;HMDB0001377;HMDB0002111;HMDB0000902;HMDB0001423;HMDB0004258;HMDB0001114;HMDB0006529;HMDB0006498;HMDB0001338;HMDB0003945;HMDB0001521;HMDB0003571;HMDB0006404;HMDB0001070;HMDB0002845;HMDB0001088;HMDB0003125;HMDB0001487;HMDB0001206	20	5	HMDB0001487;HMDB0000902;HMDB0003125;HMDB0001377;HMDB0002111	0.6073147256977874	0.19165085388994307	1.2543839106558352	0.5688677094785074	0.5688677094785074
Beta oxidation of even-chain fatty acids (mitochondrial)	MAR03107;MAR03108;MAR03109;MAR03110;MAR03111;MAR03112;MAR03113;MAR03114;MAR03115;MAR03116;MAR03117;MAR03118;MAR03121;MAR03122;MAR03123;MAR03125;MAR03128;MAR03129;MAR03130;MAR03132;MAR03135;MAR03136;MAR03137;MAR03139;MAR03142;MAR03143;MAR03144;MAR03146;MAR03149;MAR03150;MAR03151;MAR03153;MAR03156;MAR03157;MAR03158;MAR03160;MAR03426;MAR03429	HMDB0001248;HMDB0002111;HMDB0000902;HMDB0001423;HMDB0004258;HMDB0001114;HMDB0006529;HMDB0006498;HMDB0001338;HMDB0003945;HMDB0001521;HMDB0003571;HMDB0006404;HMDB0001070;HMDB0002845;HMDB0006290;HMDB0006267;HMDB0001197;HMDB0001487;HMDB0001206;HMDB0001088	21	4	HMDB0001248;HMDB0002111;HMDB0000902;HMDB0001487	0.6432692307692318	0.2124756335282651	1.2282767916140176	0.5710372633454067	0.5710372633454067
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)	MAR03275;MAR03277;MAR03278;MAR03279;MAR03280;MAR03281;MAR03282;MAR03283;MAR03284;MAR03285;MAR03286;MAR03287;MAR03288;MAR03290;MAR03292;MAR03293;MAR03294;MAR03296	HMDB0001248;HMDB0001064;HMDB0002111;HMDB0000902;HMDB0001423;HMDB0003952;HMDB0011123;HMDB0001487;HMDB0001197;HMDB0001206	10	4	HMDB0001248;HMDB0002111;HMDB0000902;HMDB0001487	0.6432692307692318	0.2124756335282651	1.2282767916140176	0.5710372633454067	0.5710372633454067
Terpenoid backbone biosynthesis	MAR01573;MAR06901;MAR06903;MAR06904;MAR06905;MAR06907;MAR06908;MAR06909;MAR06910;MAR07165;MAR07166;MAR07167;MAR07168;MAR07169;MAR07170;MAR09722;MAR20098;MAR06906	HMDB0001206;HMDB0002111;HMDB0000961;HMDB0000500;HMDB0000221;HMDB0001377;HMDB0001185;HMDB0000574;HMDB0001487;HMDB0003555;HMDB0001423;HMDB0000250;HMDB0000217;HMDB0000939;HMDB0001967;HMDB0003125;HMDB0000902	17	12	HMDB0003125;HMDB0000221;HMDB0001487;HMDB0001967;HMDB0000574;HMDB0001185;HMDB0000902;HMDB0001377;HMDB0000939;HMDB0000250;HMDB0002111;HMDB0000217	0.4408299402326309	0.23369565217391305	1.2117193566942455	0.5710599297219912	0.5710599297219912
Steroid metabolism	MAR01644;MAR01651;MAR01920;MAR01924;MAR01927;MAR01928;MAR01929;MAR01931;MAR01932;MAR01933;MAR01935;MAR01940;MAR01941;MAR01942;MAR01943;MAR01948;MAR01949;MAR01950;MAR01951;MAR01989;MAR01990;MAR01991;MAR01992;MAR01993;MAR02002;MAR02003;MAR02004;MAR02005;MAR02007;MAR02009;MAR02010;MAR02011;MAR04766;MAR06793;MAR06794;MAR06795;MAR06796;MAR07648;MAR07928;MAR07930;MAR07931;MAR07932;MAR07934;MAR07935;MAR07936;MAR07937;MAR07938;MAR07939;MAR07940;MAR07941;MAR07942;MAR07943;MAR07945;MAR07948;MAR07950;MAR07952;MAR07954;MAR07955;MAR07957;MAR07958;MAR07959;MAR07962;MAR07965;MAR07968;MAR02041;MAR07970;MAR07971;MAR07972;MAR07973;MAR07974;MAR07976;MAR07978;MAR07980;MAR07984;MAR07987;MAR01820;MAR02723;MAR02725;MAR02728;MAR02743;MAR02747;MAR02749;MAR02751;MAR02756;MAR02763;MAR03257;MAR09937;MAR11368;MAR11369;MAR10066;MAR10071;MAR10072;MAR01926;MAR01934	HMDB0006889;HMDB0002111;HMDB0000902;HMDB0000653;HMDB0000067;HMDB0000221;HMDB0001377;HMDB0006283;HMDB0000253;HMDB0000363;HMDB0000374;HMDB0000063;HMDB0000217;HMDB0001830;HMDB0003759;HMDB0001487;HMDB0001449;HMDB0000054;HMDB0000675;HMDB0000158;HMDB0003125;HMDB0000151;HMDB0000935;HMDB0000053;HMDB0000234;HMDB0000774;HMDB0001032;HMDB0000077;HMDB0000145;HMDB0000031;HMDB0000352;HMDB0002961;HMDB0001134;HMDB0000490;HMDB0000153;HMDB0000335;HMDB0003069;HMDB0006891;HMDB0001448;HMDB0000015;HMDB0000879;HMDB0000037;HMDB0000248;HMDB0000265;HMDB0006224;HMDB0000295;HMDB0000990;HMDB0000142;HMDB0006259;HMDB0003193;HMDB0004483;HMDB0002829;HMDB0000899;HMDB0006278;HMDB0000061;HMDB0002833;HMDB0004484;HMDB0006766;HMDB0006203;HMDB0000042;HMDB0006773	61	13	HMDB0000158;HMDB0000902;HMDB0000295;HMDB0003125;HMDB0002833;HMDB0000490;HMDB0000675;HMDB0000990;HMDB0002111;HMDB0001377;HMDB0000217;HMDB0001487;HMDB0000221	0.445017410673179	0.20658135283363802	1.2462195521591357	0.5715254836981921	0.5715254836981921
Omega-6 fatty acid metabolism	MAR02368;MAR02371;MAR02374;MAR02378;MAR02380;MAR02383;MAR02387;MAR02391;MAR02393;MAR02395;MAR02397;MAR02401;MAR02403;MAR02408;MAR02409;MAR02410;MAR02411;MAR02415;MAR02417;MAR02421;MAR02423;MAR02426;MAR02430;MAR02433;MAR02434;MAR02436;MAR03444;MAR03446;MAR03448;MAR03449;MAR03450;MAR03452;MAR03453;MAR03454;MAR03455;MAR03456;MAR03457;MAR03459;MAR03461;MAR03463;MAR03464;MAR03466;MAR03467;MAR03468;MAR03469;MAR03470;MAR03471;MAR02376;MAR02389;MAR02399;MAR02419;MAR02428;MAR02435	HMDB0001064;HMDB0000221;HMDB0001377;HMDB0006368;HMDB0001175;HMDB0003947;HMDB0006523;HMDB0006516;HMDB0002111;HMDB0000902;HMDB0001423;HMDB0001248;HMDB0001206;HMDB0000217;HMDB0001967;HMDB0003125;HMDB0001487;HMDB0001197	18	9	HMDB0001377;HMDB0002111;HMDB0001487;HMDB0000217;HMDB0001248;HMDB0000221;HMDB0001967;HMDB0000902;HMDB0003125	0.4797356375090213	0.2546816479400749	1.186221811321042	0.5775762431521991	0.5775762431521991
Phenylalanine metabolism	MAR01616;MAR09936;MAR09971;MAR10443;MAR10459;MAR11295	HMDB0000208;HMDB0000159;HMDB0000902;HMDB0000221;HMDB0001377;HMDB0000935;HMDB0000123;HMDB0006503;HMDB0000538;HMDB0001423;HMDB0000209;HMDB0000148;HMDB0000205;HMDB0001487;HMDB0002111;HMDB0000217;HMDB0000295;HMDB0000045;HMDB0000250	19	13	HMDB0000045;HMDB0001487;HMDB0000295;HMDB0000221;HMDB0000208;HMDB0000148;HMDB0001377;HMDB0000902;HMDB0000250;HMDB0002111;HMDB0000217;HMDB0000538;HMDB0000123	0.4253177431046804	0.24680073126142596	1.1910529220316513	0.5828631446519104	0.5828631446519104
Pentose phosphate pathway	MAR04052;MAR04304;MAR04350;MAR04473;MAR04474;MAR04476;MAR04567;MAR09799;MAR09800;MAR04623;MAR04625;MAR04841;MAR08074;MAR08653;MAR08971;MAR09992;MAR11413;MAR04398	HMDB0000538;HMDB0000217;HMDB0001341;HMDB0001316;HMDB0002111;HMDB0001487;HMDB0000283;HMDB0003224;HMDB0000902;HMDB0028848;HMDB0000045;HMDB0000221;HMDB0000990;HMDB0001967;HMDB0000625;HMDB0000508;HMDB0000751;HMDB0000123;HMDB0000159	19	11	HMDB0002111;HMDB0000123;HMDB0001341;HMDB0000538;HMDB0000221;HMDB0001487;HMDB0000217;HMDB0000902;HMDB0000990;HMDB0001967;HMDB0000045	0.45178518056065203	0.23476702508960573	1.2134630121949683	0.5842990668363327	0.5842990668363327
Purine metabolism	MAR03998;MAR04000;MAR04010;MAR04081;MAR04082;MAR04012;MAR04014;MAR04020;MAR04022;MAR04040;MAR04042;MAR04046;MAR04048;MAR04080;MAR04085;MAR04086;MAR04134;MAR04135;MAR04168;MAR04171;MAR04290;MAR04406;MAR04412;MAR04417;MAR04418;MAR04419;MAR04421;MAR04449;MAR04450;MAR04451;MAR04452;MAR04453;MAR04480;MAR04481;MAR04482;MAR04486;MAR04487;MAR04488;MAR04489;MAR04492;MAR04493;MAR04495;MAR04496;MAR04518;MAR04519;MAR04520;MAR04573;MAR04574;MAR04600;MAR04602;MAR04603;MAR04611;MAR04612;MAR04614;MAR04615;MAR04618;MAR04621;MAR04632;MAR04646;MAR04648;MAR04649;MAR04650;MAR04651;MAR04663;MAR04664;MAR04694;MAR04695;MAR04705;MAR04709;MAR04799;MAR04802;MAR04808;MAR04810;MAR04812;MAR05301;MAR05353;MAR06601;MAR06602;MAR06603;MAR06605;MAR06606;MAR06607;MAR06609;MAR06610;MAR06611;MAR07144;MAR08755;MAR09797;MAR04016;MAR04018;MAR04044;MAR04291;MAR04420;MAR04570;MAR04572;MAR00046;MAR03167;MAR03263;MAR07754;MAR07803;MAR08975;MAR04002;MAR04004;MAR04038;MAR04617;MAR04619;MAR04804;MAR04814;MAR10116	HMDB0001341;HMDB0002111;HMDB0000538;HMDB0000045;HMDB0000050;HMDB0000058;HMDB0001201;HMDB0001273;HMDB0000175;HMDB0000902;HMDB0000191;HMDB0000641;HMDB0001314;HMDB0000034;HMDB0000263;HMDB0000134;HMDB0000157;HMDB0000221;HMDB0001508;HMDB0000132;HMDB0000122;HMDB0001532;HMDB0000660;HMDB0000169;HMDB0001514;HMDB0001377;HMDB0000960;HMDB0000195;HMDB0000085;HMDB0000285;HMDB0000295;HMDB0000292;HMDB0000133;HMDB0000299;HMDB0000101;HMDB0000123;HMDB0000296;HMDB0001209;HMDB0003125;HMDB0000289;HMDB0000044;HMDB0000462;HMDB0001440;HMDB0000250;HMDB0001487;HMDB0000148;HMDB0000243;HMDB0000217;HMDB0001191;HMDB0000071;HMDB0001967;HMDB0001846;HMDB0000294;HMDB0001005;HMDB0002818	55	22	HMDB0000538;HMDB0002111;HMDB0000045;HMDB0000123;HMDB0001341;HMDB0000044;HMDB0000122;HMDB0000902;HMDB0000191;HMDB0000221;HMDB0000294;HMDB0001487;HMDB0000217;HMDB0000134;HMDB0001377;HMDB0000295;HMDB0003125;HMDB0000299;HMDB0000250;HMDB0000148;HMDB0000660;HMDB0001967	0.40336992372109826	0.16040955631399317	1.2787089224453805	0.5881119257778047	0.5881119257778047
Glycine, serine and threonine metabolism	MAR00457;MAR00460;MAR03750;MAR03752;MAR03770;MAR03771;MAR03772;MAR03782;MAR03784;MAR03794;MAR03839;MAR03841;MAR03843;MAR03845;MAR03847;MAR03849;MAR03852;MAR03856;MAR03860;MAR03883;MAR03901;MAR03939;MAR03974;MAR04198;MAR04199;MAR04200;MAR04284;MAR04348;MAR04467;MAR04582;MAR04584;MAR04696;MAR04697;MAR04698;MAR04699;MAR04700;MAR04742;MAR04788;MAR04789;MAR04791;MAR04792;MAR04937;MAR05392;MAR06409;MAR07702;MAR07703;MAR08433;MAR08434;MAR08439;MAR08440;MAR08441;MAR08442;MAR09718;MAR09486;MAR10357;MAR10403;MAR10444;MAR11502;MAR11509;MAR11555;MAR11562;MAR05393	HMDB0000538;HMDB0000139;HMDB0001423;HMDB0000730;HMDB0001197;HMDB0001493;HMDB0000678;HMDB0001041;HMDB0000123;HMDB0001248;HMDB0000902;HMDB0000148;HMDB0000272;HMDB0002111;HMDB0000187;HMDB0001846;HMDB0006454;HMDB0001377;HMDB0000271;HMDB0001487;HMDB0001185;HMDB0000243;HMDB0000167;HMDB0000517;HMDB0000064;HMDB0000097;HMDB0000217;HMDB0000043;HMDB0000742;HMDB0001426;HMDB0000221;HMDB0000161;HMDB0000119;HMDB0000125;HMDB0000115;HMDB0006239;HMDB0000092;HMDB0000005;HMDB0000719;HMDB0001206;HMDB0001275;HMDB0002054;HMDB0002845;HMDB0001341;HMDB0001243;HMDB0001113;HMDB0000339;HMDB0000208;HMDB0003125;HMDB0001967;HMDB0000939;HMDB0000042;HMDB0000990;HMDB0000128;HMDB0000214;HMDB0000696;HMDB0001149;HMDB0000078;HMDB0000985	59	23	HMDB0000939;HMDB0000123;HMDB0000064;HMDB0003125;HMDB0000167;HMDB0001248;HMDB0000221;HMDB0001275;HMDB0000990;HMDB0000517;HMDB0000208;HMDB0001185;HMDB0000214;HMDB0001487;HMDB0002111;HMDB0000217;HMDB0001341;HMDB0001967;HMDB0000538;HMDB0000148;HMDB0000128;HMDB0001377;HMDB0000902	0.3778564404344275	0.21777003484320556	1.1958812845328468	0.588266185708362	0.588266185708362
Glycosphingolipid biosynthesis-ganglio series	MAR00815;MAR00816;MAR00819;MAR00821;MAR00824;MAR00825;MAR00828;MAR00829;MAR00830;MAR00838;MAR00843;MAR00845;MAR00847;MAR00850;MAR00851;MAR00857;MAR00928;MAR00817;MAR00820;MAR00822;MAR00823;MAR00827;MAR00837;MAR00839;MAR00840;MAR00841;MAR00842;MAR00844;MAR00846;MAR00848;MAR00849;MAR00852;MAR00853;MAR00854;MAR00855;MAR00856;MAR00858	HMDB0004866;HMDB0000302;HMDB0002111;HMDB0004936;HMDB0001134;HMDB0000295;HMDB0000095;HMDB0000143;HMDB0000230;HMDB0000061	10	4	HMDB0000302;HMDB0000230;HMDB0000295;HMDB0002111	0.6748248280855281	0.1617933723196881	1.2885299577459894	0.5942389043011064	0.5942389043011064
Omega-3 fatty acid metabolism	MAR02472;MAR02475;MAR02478;MAR02482;MAR02484;MAR02486;MAR02489;MAR02493;MAR02495;MAR02497;MAR02499;MAR02503;MAR02505;MAR02510;MAR02511;MAR02512;MAR02513;MAR02515;MAR02516;MAR02520;MAR02522;MAR02524;MAR02528;MAR02530;MAR02533;MAR02537;MAR02540;MAR02541;MAR02543;MAR02544;MAR02545;MAR02546;MAR02548;MAR02550;MAR02551;MAR02552;MAR02553;MAR02555;MAR02556;MAR02557;MAR02559;MAR02560;MAR02561;MAR02562;MAR02563;MAR02565;MAR02566;MAR02567;MAR02568;MAR02570;MAR02571;MAR02572;MAR02573;MAR02574;MAR02576;MAR02577;MAR02578;MAR02579;MAR02580;MAR02581;MAR02582;MAR02586;MAR02588;MAR02480;MAR02491;MAR02501;MAR02518;MAR02526;MAR02535;MAR02542;MAR02549;MAR02583;MAR02584;MAR02587	HMDB0006290;HMDB0000221;HMDB0001377;HMDB0001175;HMDB0006267;HMDB0001487;HMDB0006260;HMDB0002111;HMDB0000902;HMDB0001423;HMDB0001999;HMDB0000217;HMDB0000125;HMDB0001967;HMDB0003125;HMDB0001206;HMDB0000148;HMDB0002664	18	9	HMDB0001377;HMDB0003125;HMDB0000221;HMDB0001487;HMDB0000148;HMDB0000217;HMDB0000902;HMDB0001967;HMDB0002111	0.46535392725615643	0.3089887640449438	1.1506607709225642	0.6061078767859354	0.6061078767859354
